,age,num_previous_recidivisms,race_Caucasian,race_Hispanic,race_Other,gender_Male,registeredSexOffender_TRUE,violentOffender_TRUE,gangMember_x_TRUE,homeless_TRUE,DNACollected_TRUE,employmentStatus_Full_Time,employmentStatus_Part_Time,employmentStatus_Unemployed,HighestEducationLevel_High_School_Diploma,HighestEducationLevel_No_HS_Diploma,HighestEducationLevel_Some_College,licenseStatus_Not_Suspended,licenseStatus_Suspended,time_in_Work_Release (month),time_in_Monitoring (month),recidivism,time_to_recidivism_months,time_to_recidivism_category
0,34,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,3.082657234,10.37508341,0,,
1,34,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.774831346,4.72102181,0,,
2,37,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0.893290974,11.08078917,1,9.233333333333333,9 to 12
3,48,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3.755387629,0.598576926,0,,
4,49,0,1,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,1,3.813105882,13.49241783,1,2.3333333333333335,0 to 3
5,30,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,4.024006076,0.162838767,0,,
6,32,2,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,2.271898715,3.398084631,1,10.466666666666665,9 to 12
7,27,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0.247998936,11.57087963,1,22.03333333333334,21 to 24
8,66,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0.091749505,1.113589196,0,,
9,63,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1.620279846,2.959289332,0,,
10,31,2,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0.429679502,29.85584763,0,,
11,28,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,3.197361263,0.04250963,0,,
12,29,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,5.390935009,5.061647707,0,,
13,37,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2.916697129,0.493967691,0,,
14,27,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.730027454,16.54023142,0,,
15,34,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0.710182326,8.347652262,0,,
16,37,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1.52718635,3.867487393,0,,
17,62,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,1.698548299,6.27460944,0,,
18,27,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,4.51557252,6.922238429,0,,
19,34,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3.326964781,5.138723065,0,,
20,23,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1.261812931,10.15893837,0,,
21,37,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1.029185716,6.720635407,0,,
22,39,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1.895768585,5.266509274,0,,
23,55,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,9.241506421,0.782085217,0,,
24,57,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0.153427108,2.957048182,0,,
25,32,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0.899233978,0.578426961,1,12.933333333333334,12 to 15
